"filename", "language", "XML", "JSON", "JavaScript", "Markdown", "JSON with Comments", "Python", "HTML", "CSS", "comment", "blank", "total"
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/timeline-gptexample.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 11, 62
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/timeline-test-062024.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 1, 20, 106
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/timelinetest.js", "JavaScript", 0, 0, 109, 0, 0, 0, 0, 0, 47, 38, 194
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/timelinetest_gridded.js", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 0, 46, 38, 194
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/Timeline-Dev/timelinetest_withclasses.js", "JavaScript", 0, 0, 94, 0, 0, 0, 0, 0, 21, 22, 137
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/connectSettings.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/filtered_file.json", "JSON", 0, 3284, 0, 0, 0, 0, 0, 0, 0, 0, 3284
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/notesPerLevel.json", "JSON", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 82
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/package-lock.json", "JSON", 0, 1019, 0, 0, 0, 0, 0, 0, 0, 1, 1020
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/projector/gameStats.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 0, 6, 20, 131
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/projector/index.html", "HTML", 0, 0, 0, 0, 0, 0, 61, 0, 0, 7, 68
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/projector/libraries/Tone.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/projector/libraries/p5.js", "JavaScript", 0, 0, 81516, 0, 0, 0, 0, 0, 55864, 1121, 138501
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/projector/libraries/qrcode.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/projector/libraries/socket.io.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 6, 1, 8
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/projector/projector.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 1, 10, 60
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/projector/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 119, 17, 15, 151
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/HUD.js", "JavaScript", 0, 0, 273, 0, 0, 0, 0, 0, 7, 39, 319
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/SaxHero.js", "JavaScript", 0, 0, 293, 0, 0, 0, 0, 0, 50, 109, 452
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/ThumbTracker.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 2, 11, 82
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 64, 0, 3, 10, 77
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/libraries/StartAudioContext.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 0, 62, 25, 190
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/libraries/Tone.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/libraries/p5.js", "JavaScript", 0, 0, 81516, 0, 0, 0, 0, 0, 55864, 1121, 138501
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/libraries/p5.sound.js", "JavaScript", 0, 0, 5647, 0, 0, 0, 0, 0, 5439, 669, 11755
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/libraries/scenemanager.js", "JavaScript", 0, 0, 127, 0, 0, 0, 0, 0, 41, 37, 205
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/libraries/socket.io.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 6, 1, 8
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/score.js", "JavaScript", 0, 0, 13617, 0, 0, 0, 0, 0, 0, 0, 13617
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/public/transport.js", "JavaScript", 0, 0, 147, 0, 0, 0, 0, 0, 20, 41, 208
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/saxScores/SaxHeroPlayer.js", "JavaScript", 0, 0, 252, 0, 0, 0, 0, 0, 26, 69, 347
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/saxScores/index.html", "HTML", 0, 0, 0, 0, 0, 0, 49, 0, 2, 9, 60
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/saxScores/libraries/StartAudioContext.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 0, 62, 25, 190
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/saxScores/libraries/Tone.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/saxScores/libraries/p5.js", "JavaScript", 0, 0, 81516, 0, 0, 0, 0, 0, 55864, 1121, 138501
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/saxScores/libraries/socket.io.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 6, 1, 8
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/score82624.json", "JSON", 0, 23914, 0, 0, 0, 0, 0, 0, 0, 0, 23914
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/score83024.json", "JSON", 0, 24202, 0, 0, 0, 0, 0, 0, 0, 0, 24202
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/soprano.json", "JSON", 0, 5084, 0, 0, 0, 0, 0, 0, 0, 0, 5084
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/soprano9-12.json", "JSON", 0, 5908, 0, 0, 0, 0, 0, 0, 0, 0, 5908
"/Users/jason/Dropbox/Saxophone Hero - 2024/Saxophone-Hero/Saxophone-Hero/stripJSONkeys.py", "Python", 0, 0, 0, 0, 0, 10, 0, 0, 5, 5, 20
"Total", "-", 12, 65470, 266856, 38, 10, 10, 204, 119, 173544, 4744, 511007
